id,scenario,y,sz_asr,sz_gold,true_delta,conf_proxy,wer
8005,calendar,2,1.0,1.0,0.0,0.1422821227738159,0.125
8013,calendar,2,1.0,1.0,0.0,0.008856616338770551,0.125
8029,calendar,2,2.0,2.0,0.0,0.29446561736317234,0.0
8033,datetime,4,2.0,2.0,0.0,0.11697220012712262,0.5
8035,calendar,2,1.0,2.0,-1.0,0.12228601668129557,0.14285714285714285
8037,calendar,2,1.0,1.0,0.0,0.062325604853633365,0.3333333333333333
8042,calendar,2,1.0,1.0,0.0,0.0363669910809995,0.0
8043,calendar,2,1.0,1.0,0.0,0.015686457557461453,0.0
8044,calendar,2,1.0,1.0,0.0,0.007629784756883362,0.0
8055,calendar,2,1.0,1.0,0.0,0.008673427886470408,0.3333333333333333
8056,calendar,2,2.0,1.0,1.0,0.4968390729341783,0.14285714285714285
8058,calendar,2,1.0,1.0,0.0,0.0046652203647848944,0.0
8073,calendar,2,1.0,1.0,0.0,0.006448286930665237,0.2222222222222222
8079,calendar,2,3.0,2.0,1.0,0.5268507992798908,0.09090909090909091
8084,calendar,2,1.0,1.0,0.0,0.04369401339549295,0.0
8085,calendar,2,1.0,1.0,0.0,0.0596599294647131,0.2222222222222222
8100,email,5,1.0,2.0,-1.0,0.038687864793998106,0.0
8107,calendar,2,1.0,1.0,0.0,0.013105570652579668,0.16666666666666666
8110,calendar,2,1.0,1.0,0.0,0.0020751060209022176,0.0
8116,calendar,2,1.0,1.0,0.0,0.004906756551218305,0.3333333333333333
8119,calendar,2,2.0,2.0,0.0,0.1914308900939914,0.0
8125,calendar,2,1.0,1.0,0.0,0.0020735699186362755,0.0
8126,calendar,2,1.0,1.0,0.0,0.001087432692629564,0.0
8129,calendar,2,1.0,1.0,0.0,0.02132750039931186,0.0
8140,calendar,2,1.0,1.0,0.0,0.0060982929354179705,0.23076923076923078
8148,calendar,2,1.0,1.0,0.0,0.028992617426034206,0.0
8150,calendar,2,1.0,1.0,0.0,0.000336548552204774,0.125
8165,calendar,2,1.0,1.0,0.0,0.059077610194797514,0.5
8182,calendar,2,1.0,1.0,0.0,0.055980338651242745,0.16666666666666666
8188,calendar,2,1.0,1.0,0.0,0.04365933830102853,0.0
8204,calendar,2,2.0,2.0,0.0,0.25709743763169135,0.0
8206,calendar,2,2.0,2.0,0.0,0.2004054310777933,0.0
8230,calendar,2,1.0,1.0,0.0,0.004826145279428928,0.0
8241,calendar,2,1.0,1.0,0.0,0.06193243871689269,0.36363636363636365
8245,calendar,2,1.0,1.0,0.0,0.07406048726985104,0.14285714285714285
8248,calendar,2,1.0,1.0,0.0,0.007328731978092917,0.0
8251,calendar,2,2.0,1.0,1.0,0.17383434966601208,0.1111111111111111
8260,calendar,2,2.0,2.0,0.0,0.20362607572936642,0.5
