id,delta,sz_asr,asr_avg_logprob,asr_no_speech_prob,asr_compression_ratio,n_segments,asr_min_word_logprob,asr_word_logprob_std,conf_nlu,wer
massive_de_de_17157,0.0,1.0,0.33129882998764515,0.05670166015625,0.8333333333333334,1.0,1.388738752461667,0.449176514265979,0.0004136832464183282,0.0
massive_de_de_17170,0.0,1.0,0.23203125670552255,0.00905609130859375,0.9322033898305084,1.0,0.6380525267529715,0.2223672176625468,0.0070948415171830925,0.0
massive_de_de_17179,0.0,1.0,0.17578125,0.014434814453125,0.8260869565217391,1.0,0.14475485499437216,0.053890929712863085,0.006276633708786394,0.0
massive_de_de_1719,0.0,1.0,0.23828124503294626,0.0004169940948486328,0.8709677419354839,1.0,0.3299020706336566,0.1122907085139965,0.01638412809318024,0.18181818181818182
massive_de_de_1722,0.0,1.0,0.30018028846153844,0.00489044189453125,0.84,1.0,0.23351206041202574,0.07861801287766226,0.10415859608502753,0.0
massive_de_de_174,1.0,2.0,0.39146206634385244,0.0096282958984375,0.813953488372093,1.0,0.47391752856687186,0.19215195349759406,0.4512861571860568,0.3333333333333333
massive_de_de_1741,1.0,3.0,0.3039434410276867,0.01395416259765625,0.9178082191780822,1.0,0.4750946917398867,0.1542289002767362,0.3069228643362786,0.16666666666666666
massive_de_de_1744,0.0,1.0,0.2373046949505806,0.006465911865234375,0.6363636363636364,1.0,0.2518726197550701,0.10634497691046628,0.08240753800146894,0.0
massive_de_de_1745,0.0,1.0,0.4308593809604645,0.2088623046875,0.6923076923076923,1.0,0.3828946007741669,0.13136388598110474,0.06251750113605226,0.0
massive_de_de_1750,0.0,1.0,0.19158380952748386,0.004253387451171875,0.7575757575757577,1.0,0.15839142994391764,0.0619837768896442,0.0062066471353195984,0.0
massive_de_de_1756,0.0,1.0,0.3869140684604645,0.0069732666015625,0.7142857142857143,1.0,0.30376117193988567,0.10414999262886117,0.005554555127095573,0.3333333333333333
massive_de_de_1759,-2.0,2.0,0.3896484449505806,0.027435302734375,0.84,1.0,0.25501826563298935,0.09534393488789607,0.4228674793209968,0.0
massive_de_de_1760,0.0,1.0,0.4459635466337204,0.0034732818603515625,0.8181818181818182,1.0,0.3563959649998327,0.15175967662305967,0.03967549198129505,0.0
massive_de_de_177,-1.0,2.0,0.4345703249176343,0.005695343017578125,0.8333333333333334,1.0,0.30012900681086613,0.12224298272962533,0.30364786134349986,0.3333333333333333
massive_de_de_1774,-2.0,1.0,0.277734375,0.0022487640380859375,0.75,1.0,0.26451501317024656,0.0970925952593297,0.034169483485058105,0.25
massive_de_de_1777,0.0,2.0,0.4071180555555556,0.0247039794921875,0.6521739130434783,1.0,0.1426877679105089,0.03278523228303881,0.2904063721509367,0.0
massive_de_de_1778,0.0,1.0,0.4878906011581421,0.01611328125,0.75,1.0,1.1787007737566035,0.4949621115424053,0.008809071838235205,0.25
massive_de_de_178,0.0,1.0,0.4169921825329463,0.0130615234375,0.851063829787234,1.0,0.3496775336128814,0.13289352345318448,0.08301040439067853,0.0
massive_de_de_1784,0.0,1.0,0.3838778354904868,0.00677490234375,0.7241379310344828,1.0,1.4110113880707902,0.6215028544054584,0.004098798726092978,0.5
massive_de_de_1786,0.0,1.0,0.45162259615384615,0.0192718505859375,0.8095238095238095,1.0,0.4723501301268591,0.18438137889981304,0.12839393673898591,0.3333333333333333
massive_de_de_1794,-1.0,2.0,0.4050480860930223,0.0171356201171875,0.8333333333333334,1.0,0.2562792998480174,0.11109063735775744,0.3143837066375639,0.0
massive_de_de_1796,0.0,2.0,0.7539062670298985,0.01031494140625,0.6,1.0,1.1173412737743866,0.5034884702156992,0.44965610399996336,0.5
massive_de_de_1803,0.0,3.0,0.23590959182807378,0.01378631591796875,0.8545454545454545,1.0,0.06193773943751381,0.02023493411109699,0.4787504685194014,0.0
massive_de_de_1804,-1.0,1.0,0.4047851637005806,0.01479339599609375,0.7037037037037037,1.0,0.49372015586305157,0.19758161259566817,0.07604396298252192,0.0
massive_de_de_1807,-1.0,1.0,0.9565429836511612,0.138916015625,0.5555555555555556,1.0,1.078371740269698,0.10862633855246911,0.032837626704293466,0.5
massive_de_de_1808,-3.0,3.0,0.6399739782015482,0.17553710937499997,0.42857142857142855,1.0,0.26070548475357885,0.0,0.7604392778296172,0.0
massive_de_de_1811,0.0,1.0,0.4209735576923077,0.0051727294921875,0.8181818181818182,1.0,0.5287257650618669,0.1954175643412764,0.0017593982834445132,0.5
massive_de_de_1812,0.0,1.0,0.19503347894975118,0.0159912109375,0.8666666666666666,1.0,0.3343261037128016,0.10579472429954197,0.07256911116568232,0.0
massive_de_de_182,0.0,1.0,0.4246651657990047,0.0037326812744140625,0.8,1.0,1.2798602032721615,0.4225806295352649,0.07226405374958755,1.0
massive_de_de_1830,-1.0,1.0,0.3192471645095132,0.005977630615234375,0.8048780487804877,1.0,0.1432510953125058,0.0596477163021398,0.18693409753691148,0.0
massive_de_de_1831,0.0,1.0,0.4885817307692308,0.003997802734375,0.9142857142857144,1.0,0.5509256296338308,0.18166511512072014,0.02461503325776304,0.3333333333333333
massive_de_de_1832,0.0,1.0,0.3285590277777778,0.034271240234375,0.7241379310344828,1.0,0.3027692723710425,0.10381502911004524,0.0038442919567042155,0.0
massive_de_de_1833,-3.0,2.0,0.3407118138339784,0.0034694671630859375,0.8888888888888888,1.0,1.1973217943268557,0.41206514746852807,0.5431291913539615,0.3333333333333333
massive_de_de_185,0.0,1.0,0.22359375,0.004241943359375,0.972972972972973,1.0,0.5812407533925469,0.1601984897222395,0.0020298002370146007,0.0
massive_de_de_1862,0.0,2.0,0.2484019777991555,0.0166168212890625,0.764705882352941,1.0,0.05623971832287608,0.024943100609061086,0.471842702222953,0.0
massive_de_de_1866,0.0,1.0,0.3402777777777778,0.010421752929687498,0.7142857142857143,1.0,0.29159597177291724,0.13187295693699713,0.005892635336764318,0.0
massive_de_de_1870,0.0,1.0,0.26796874701976775,0.06134033203125,0.75,1.0,0.43431981258160407,0.18065367543983837,0.1295432185063945,0.0
massive_de_de_1872,0.0,2.0,0.4804687698682149,0.1253662109375,0.7714285714285715,1.0,0.3047540563504284,0.10479583226706632,0.2203405757433381,0.0
massive_de_de_1874,1.0,3.0,0.3702257027228673,0.0045928955078125,0.8541666666666666,1.0,0.5229430145399548,0.18285885404953012,0.3971461203896257,0.14285714285714285
massive_de_de_189,0.0,1.0,0.31303267587314954,0.028839111328125,0.7714285714285715,1.0,0.3234711803033662,0.1163940812013551,0.08109407656232714,1.0
massive_de_de_19,0.0,1.0,0.2822265587747097,0.01184844970703125,0.8775510204081632,1.0,0.32482161940123766,0.12924994565762007,0.004337486436394089,0.14285714285714285
